,file,cell,length,burst,tonic,silent,numbursts,burst_length_cv,ibi_cv,spikespburst,spikespburst_cv,burst_length,ibi_length,tonic_isi,tonic_isi_cv
15827003,15827003,1s,60000.0,0.0,0.01670844,0.98329156,,,,,,,,0.0295,0.587054314661
15821032,15821032,1b/6/7,60000.0,0.0,0.3276826,0.6723174,,,,,,,,0.0875,0.58064004094
15o14012,15o14012,1b/6/7,300000.0,0.0,0.275938141333,0.724061858667,,,,,,,,0.433,0.578016570934
15722000,15722000,NK,120000.0,0.000518965277778,0.819614821667,0.179866213056,2,0.266194751843,0.0,54.5,0.522935779817,3.73655,7.9032,0.7295,0.577745850099
15303005,15303005,NK,120000.0,0.0,0.927277051667,0.0727229483333,,,,,,,,1.0185,0.577633631302
15824015,15824015,1s,60000.0,0.0,0.0,1.0,,,,,,,,0.0295,0.587054314661
15216008,15216008,NK,341200.0,0.0012313157118,0.00700918083236,0.991759503456,38,0.695275264687,1.04823052018,53.2105263158,1.05238941141,3.77227955263,5.16759189189,,
15319000,15319000,NK,91950.0,0.0,0.685064351278,0.314935648722,,,,,,,,0.1805,0.578947368421
15o15000,15o15000,1b/6/7,300000.0,0.0,0.696114458667,0.303885541333,,,,,,,,1.359,0.577562647446
15812000,15812000,6/7,60000.0,0.0,0.754956115,0.245043885,,,,,,,,0.3695,0.578131000133
15821000,15821000,1b/6/7,60000.0,0.0,0.374317455,0.625682545,,,,,,,,0.1315,0.57954135968
15409000,15409000,NK,120099.9,0.0,0.880719041398,0.119280958602,,,,,,,,0.6265,0.577810859825
15320004,15320004,NK,251650.00000000003,0.00317260580467,0.042880090602,0.953947303593,8,1.79413251577,0.88125362571,88.125,1.59315913467,25.1142375,17.7927333333,0.2775,0.578389604449
15616007,15616007,1s,60000.0,0.00140755555556,0.0,0.998592444444,1,0.0,,4.0,0.0,5.0672,,0.0295,0.587054314661
15811002,15811002,1b,60000.0,0.0,0.0156901966667,0.984309803333,,,,,,,,0.029,0.587220219515
15731014,15731014,NK,120000.0,0.0,0.591057626667,0.408942373333,,,,,,,,1.363,0.577562024293
15515010,15515010,14/30,60099.9,0.0,0.00706412157092,0.992935878429,,,,,,,,0.0295,0.587054314661
15410001,15410001,1b,120099.9,0.0,0.250535653235,0.749464346765,,,,,,,,0.093,0.58044600328
15824000,15824000,1b/6/7,60000.0,0.0,0.852006448333,0.147993551667,,,,,,,,0.425,0.578029105719
15o14003,15o14003,1b/6/7,300000.0,0.000978194444444,0.0304712313333,0.968550574222,32,0.446094995979,0.793889086451,9.90625,0.848099496652,2.751171875,5.68852258065,0.353,0.578167467432
15410004,15410004,1s?,120099.9,0.00225691428466,0.635183524716,0.362559561,10,0.127063778119,0.264270751196,69.1,0.177059138515,3.25537,8.70868888889,1.177,0.577595480613
15812001,15812001,6/7,180377.6,0.0,0.88098672507,0.11901327493,,,,,,,,1.0655,0.577621134918
15217004,15217004,NK,38150.0,0.0,0.839664639581,0.160335360419,,,,,,,,0.164,0.579107808321
15826014,15826014,NK,60000.0,0.00425625,0.406431941667,0.589311808333,9,0.641025933224,0.929454566202,19.1111111111,0.938768971718,1.7025,1.61795,0.287,0.578355231254
15218006,15218006,NK,4000.0,0.0,0.0,1.0,,,,,,,,0.0015,0.7453559925
15423000,15423000,1b/6/7,120099.9,0.0,0.737221253307,0.262778746693,,,,,,,,1.9705,0.577496749027
15423004,15423004,NK,120099.9,0.0,0.482080731125,0.517919268875,,,,,,,,0.708,0.577757858559
15515019,15515019,14/30,60099.9,0.0,0.918470235391,0.0815297646086,,,,,,,,0.4865,0.577943335878
15o14005,15o14005,1b,300000.0,0.0,0.679609016667,0.320390983333,,,,,,,,1.1935,0.577592091303
15212000,15212000,NK,,,,,,,,,,,,2.042,0.577491620708
15o19000,15o19000,1b/6/7,300000.0,0.000616785555556,0.0,0.999383214444,54,0.29577274653,0.889095282443,4.44444444444,1.47584721431,1.02797592593,4.43802075472,0.1495,0.579277988307
15511001,15511001,NK,416899.99999999994,0.0,0.644414556009,0.355585443991,,,,,,,,1.767,0.577513616277
15731000,15731000,NK,120000.0,0.00482749590278,0.25981812,0.735354384097,17,0.366403275377,0.702427815461,129.823529412,0.520755603831,4.089173,3.07125,,
15826000,15826000,1s,60000.0,0.0,0.0,1.0,,,,,,,,0.0295,0.587054314661
